id,vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,dist_km,speed_km,banderazo,tarifa_dist,tarifa_tiempo,tarifa_min,costo_viaje_sin_min,costo_viaje_sobre_min,municipios_origen,municipios_destino
3,Taxi Libre,18/09/2016 10:11,18/09/2016 10:23,-99.28960286,19.32626257,-99.2718736,19.32853031,0.189166667,2848,129,2.848,15.05550661,8.74,1.07,1.07,8.74,23.99677333,23.99677333,Cuajimalpa de Morelos,¡Ålvaro ObregÛn
4,Taxi Libre,18/09/2016 10:23,18/09/2016 10:30,-99.27116092,19.32887516,-99.27989983,19.32625581,0.121111111,1409,106,1.409,11.63394495,8.74,1.07,1.07,8.74,17.29096444,17.29096444,¡Ålvaro ObregÛn,¡Ålvaro ObregÛn
5,Taxi Libre,18/09/2016 10:44,18/09/2016 10:51,-99.28276056,19.32694425,-99.29170493,19.3227536,0.122777778,1567,85,1.567,12.76289593,8.74,1.07,1.07,8.74,17.46787111,17.46787111,¡Ålvaro ObregÛn,Cuajimalpa de Morelos
6,Taxi Libre,18/09/2016 10:58,18/09/2016 10:59,-99.28971174,19.32292909,-99.28928032,19.32597834,0.027777778,797,19,0.797,28.692,8.74,1.07,1.07,8.74,12.60293778,12.60293778,Cuajimalpa de Morelos,Cuajimalpa de Morelos
7,Taxi Libre,18/09/2016 11:00,18/09/2016 11:05,-99.28539143,19.32624657,-99.28254919,19.32811713,0.095833333,676,169,0.676,7.053913043,8.74,1.07,1.07,8.74,15.65172444,15.65172444,¡Ålvaro ObregÛn,¡Ålvaro ObregÛn
8,Taxi Libre,18/09/2016 11:08,18/09/2016 11:17,-99.28589116,19.33002207,-99.289828,19.31916966,0.151111111,3771,37,3.771,24.95514706,8.74,1.07,1.07,8.74,25.75965778,25.75965778,Cuajimalpa de Morelos,¡Ålvaro ObregÛn
9,Radio Taxi,18/09/2016 01:06,18/09/2016 01:26,-99.18234614,19.3708853,-99.17653411,19.34141015,0.340555556,5662,572,5.662,16.62577488,27.6,1.84,1.84,27.6,92.66076444,92.66076444,Benito Ju·rez,Coyoac·n
10,Taxi de Sitio,18/09/2016 03:42,18/09/2016 04:11,-99.0747945,19.41258924,-99.16123946,19.38170083,0.478611111,14349,459,14.349,29.98049913,13.1,1.3,1.3,13.1,100.9748,100.9748,Venustiano Carranza,Benito Ju·rez
12,Taxi Libre,18/09/2016 11:28,18/09/2016 11:34,-99.29033998,19.33121437,-99.29489573,19.32068669,0.096944444,1693,33,1.693,17.46361032,8.74,1.07,1.07,8.74,16.77070667,16.77070667,Cuajimalpa de Morelos,Cuajimalpa de Morelos
13,Taxi de Sitio,18/09/2016 04:12,18/09/2016 04:21,-99.17962947,19.43858941,-99.17910745,19.43877742,0.144722222,2279,181,2.279,15.74740883,13.1,1.3,1.3,13.1,30.17968889,30.17968889,Miguel Hidalgo,Miguel Hidalgo
14,Taxi de Sitio,18/09/2016 04:27,18/09/2016 04:35,-99.16758945,19.371335,-99.17055068,19.38758295,0.136111111,2725,125,2.725,20.02040816,13.1,1.3,1.3,13.1,30.88111111,30.88111111,Benito Ju·rez,Benito Ju·rez
17,Radio Taxi,18/09/2016 04:59,18/09/2016 06:12,-99.20190889,19.56722023,-99.20334526,19.57946663,1.209166667,1459,139,1.459,1.206616127,27.6,1.84,1.84,27.6,44.02179556,44.02179556,Tlalnepantla de Baz,Tlalnepantla de Baz
18,Taxi Libre,18/09/2016 08:46,18/09/2016 08:53,-99.28123392,19.3337681,-99.29014936,19.32568913,0.108611111,3309,34,3.309,30.46649616,8.74,1.07,1.07,8.74,23.71096444,23.71096444,¡Ålvaro ObregÛn,Cuajimalpa de Morelos
19,Taxi Libre,18/09/2016 09:34,18/09/2016 09:44,-99.28921858,19.33654562,-99.27128298,19.32476607,0.170277778,5651,34,5.651,33.18694943,8.74,1.07,1.07,8.74,33.73472444,33.73472444,Cuajimalpa de Morelos,¡Ålvaro ObregÛn
20,Taxi Libre,18/09/2016 09:46,18/09/2016 09:47,-99.27269985,19.32256212,-99.27339274,19.32726307,0.024444444,602,20,0.602,24.62727273,8.74,1.07,1.07,8.74,11.79211556,11.79211556,¡Ålvaro ObregÛn,¡Ålvaro ObregÛn
21,Taxi Libre,18/09/2016 09:48,18/09/2016 09:59,-99.27363356,19.32746616,-99.27993955,19.34338569,0.185555556,3931,21,3.931,21.18502994,8.74,1.07,1.07,8.74,26.06401333,26.06401333,¡Ålvaro ObregÛn,Cuajimalpa de Morelos
22,Taxi Libre,18/09/2016 10:04,18/09/2016 10:30,-99.27246424,19.34555382,-99.26972639,19.33603828,0.431944444,6172,310,6.172,14.2888746,8.74,1.07,1.07,8.74,42.52727111,42.52727111,Cuajimalpa de Morelos,¡Ålvaro ObregÛn
23,Taxi Libre,18/09/2016 11:56,19/09/2016 12:08,-99.28475782,19.32662957,-99.29724096,19.32164816,0.208333333,2148,226,2.148,10.3104,8.74,1.07,1.07,8.74,23.30721778,23.30721778,¡Ålvaro ObregÛn,Cuajimalpa de Morelos
